Index,Date,Value
EUR-EURIBOR-6M,01-Oct-2014,0.00181
EUR-EURIBOR-6M,02-Oct-2014,0.0018
EUR-EURIBOR-6M,03-Oct-2014,0.00181
EUR-EURIBOR-6M,04-Oct-2014,0.00181
EUR-EURIBOR-6M,05-Oct-2014,0.00181
EUR-EURIBOR-6M,06-Oct-2014,0.00179
EUR-EURIBOR-6M,07-Oct-2014,0.00178
EUR-EURIBOR-6M,08-Oct-2014,0.0018
EUR-EURIBOR-6M,09-Oct-2014,0.00179
EUR-EURIBOR-6M,10-Oct-2014,0.00178
EUR-EURIBOR-6M,11-Oct-2014,0.00178
EUR-EURIBOR-6M,12-Oct-2014,0.00178
EUR-EURIBOR-6M,13-Oct-2014,0.00182
EUR-EURIBOR-6M,14-Oct-2014,0.00182
EUR-EURIBOR-6M,15-Oct-2014,0.00181
EUR-EURIBOR-6M,16-Oct-2014,0.00182
EUR-EURIBOR-6M,17-Oct-2014,0.00185
EUR-EURIBOR-6M,18-Oct-2014,0.00185
EUR-EURIBOR-6M,19-Oct-2014,0.00185
EUR-EURIBOR-6M,20-Oct-2014,0.00184
EUR-EURIBOR-6M,21-Oct-2014,0.00186
EUR-EURIBOR-6M,22-Oct-2014,0.00187
EUR-EURIBOR-6M,23-Oct-2014,0.00188
EUR-EURIBOR-6M,24-Oct-2014,0.00188
EUR-EURIBOR-6M,25-Oct-2014,0.00188
EUR-EURIBOR-6M,26-Oct-2014,0.00188
EUR-EURIBOR-6M,27-Oct-2014,0.00189
EUR-EURIBOR-6M,28-Oct-2014,0.00189
EUR-EURIBOR-6M,29-Oct-2014,0.00188
EUR-EURIBOR-6M,30-Oct-2014,0.00188
EUR-EURIBOR-6M,31-Oct-2014,0.00189
EUR-EURIBOR-6M,01-Nov-2014,0.00189
EUR-EURIBOR-6M,02-Nov-2014,0.00189
EUR-EURIBOR-6M,03-Nov-2014,0.00189
EUR-EURIBOR-6M,04-Nov-2014,0.00186
EUR-EURIBOR-6M,05-Nov-2014,0.00184
EUR-EURIBOR-6M,06-Nov-2014,0.00182
EUR-EURIBOR-6M,07-Nov-2014,0.00181
EUR-EURIBOR-6M,08-Nov-2014,0.00181
EUR-EURIBOR-6M,09-Nov-2014,0.00181
EUR-EURIBOR-6M,10-Nov-2014,0.00181
EUR-EURIBOR-6M,11-Nov-2014,0.00181
EUR-EURIBOR-6M,12-Nov-2014,0.00181
EUR-EURIBOR-6M,13-Nov-2014,0.00178
EUR-EURIBOR-6M,14-Nov-2014,0.0018
EUR-EURIBOR-6M,15-Nov-2014,0.0018
EUR-EURIBOR-6M,16-Nov-2014,0.0018
EUR-EURIBOR-6M,17-Nov-2014,0.00182
EUR-EURIBOR-6M,18-Nov-2014,0.00181
EUR-EURIBOR-6M,19-Nov-2014,0.00181
EUR-EURIBOR-6M,20-Nov-2014,0.00181
EUR-EURIBOR-6M,21-Nov-2014,0.00181
